ZipCode,EstimatedCombinedRate,,,,
61462,0.0925,,,,
61465,0.0725,,,,
61466,0.0725,,,,
61467,0.0775,,,,
61468,0.0725,,,,
61469,0.0725,,,,
61470,0.08,,,,
61471,0.0875,,,,
61472,0.0775,,,,
61473,0.0725,,,,
61474,0.0775,,,,
61475,0.08,,,,
61476,0.0725,,,,
61477,0.0775,,,,
61478,0.0725,,,,
61479,0.0675,,,,
61480,0.0725,,,,
61482,0.0775,,,,
61483,0.0675,,,,
61484,0.0775,,,,
61485,0.0775,,,,
61486,0.0725,,,,
61488,0.0775,,,,
61489,0.0775,,,,
61490,0.0725,,,,
61491,0.0675,,,,
61501,0.0775,,,,
61516,0.0725,,,,
61517,0.0725,,,,
61519,0.0775,,,,
61520,0.0825,,,,
61523,0.0775,,,,
61524,0.0775,,,,
61525,0.0725,,,,
61526,0.0725,,,,
61528,0.0725,,,,
61529,0.0725,,,,
61530,0.0725,,,,
61531,0.0775,,,,
61532,0.0725,,,,
61533,0.0725,,,,
61534,0.0675,,,,
61535,0.0675,,,,
61536,0.0725,,,,
61537,0.0625,,,,
61539,0.0725,,,,
61540,0.0625,,,,
61541,0.0625,,,,
61542,0.0775,,,,
61543,0.0775,,,,
61544,0.0775,,,,
61545,0.0725,,,,
61546,0.0675,,,,
61547,0.0725,,,,
61548,0.0725,,,,
61550,0.0675,,,,
61552,0.0725,,,,
61553,0.0775,,,,
61554,0.085,,,,
61555,0.085,,,,
61558,0.085,,,,
61559,0.0725,,,,
61560,0.0625,,,,
61561,0.0725,,,,
61562,0.0725,,,,
61563,0.0775,,,,
61564,0.07,,,,
61565,0.0625,,,,
61567,0.0725,,,,
61568,0.0675,,,,
61569,0.0725,,,,
61570,0.0725,,,,
61571,0.08,,,,
61572,0.0775,,,,
61601,0.09,,,,
61602,0.09,,,,
61603,0.09,,,,
61604,0.09,,,,
61605,0.09,,,,
61606,0.09,,,,
61607,0.0825,,,,
61610,0.0775,,,,
61611,0.08,,,,
61612,0.09,,,,
61613,0.09,,,,
61614,0.09,,,,
61615,0.09,,,,
61616,0.0875,,,,
61625,0.09,,,,
61629,0.09,,,,
61630,0.09,,,,
61633,0.09,,,,
61634,0.09,,,,
61635,0.08,,,,
61636,0.09,,,,
61637,0.09,,,,
61638,0.09,,,,
61639,0.09,,,,
61641,0.0825,,,,
61643,0.09,,,,
61650,0.09,,,,
61651,0.09,,,,
61652,0.09,,,,
61653,0.09,,,,
61654,0.09,,,,
61655,0.09,,,,
61656,0.09,,,,
61701,0.0875,,,,
61702,0.0875,,,,
61704,0.0875,,,,
61705,0.0625,,,,
61709,0.0875,,,,
61710,0.0875,,,,
61720,0.0625,,,,
61721,0.0675,,,,
61722,0.0625,,,,
61723,0.0775,,,,
61724,0.0625,,,,
61725,0.0725,,,,
61726,0.0725,,,,
61727,0.0675,,,,
61728,0.0625,,,,
61729,0.0725,,,,
61730,0.0625,,,,
61731,0.0625,,,,
61732,0.0625,,,,
61733,0.0675,,,,
61734,0.0675,,,,
61735,0.0625,,,,
61736,0.0625,,,,
61737,0.0625,,,,
61738,0.0725,,,,
61739,0.0725,,,,
61740,0.0725,,,,
61741,0.0725,,,,
61742,0.0725,,,,
61743,0.0725,,,,
61744,0.0625,,,,
61745,0.0625,,,,
61747,0.0675,,,,
61748,0.0625,,,,
61749,0.0625,,,,
61750,0.0625,,,,
61751,0.0775,,,,
61752,0.0675,,,,
61753,0.0675,,,,
61754,0.0675,,,,
61755,0.0675,,,,
61756,0.0875,,,,
61758,0.0625,,,,
61759,0.0675,,,,
61760,0.0725,,,,
61761,0.0875,,,,
61764,0.0725,,,,
61769,0.0725,,,,
61770,0.0625,,,,
61771,0.0725,,,,
61772,0.0625,,,,
61773,0.0625,,,,
61774,0.0625,,,,
61775,0.0725,,,,
61776,0.0625,,,,
61777,0.0625,,,,
